capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1784729014,48207520,83.435,0.653,84.015,5,1
1784729014,114877686,83.48,0.674,84.079,5,1
1784729014,181546631,90.152,0.648,90.727,5,1
1784729014,248215088,85.849,0.713,86.49,5,1
1784729014,314882813,84.415,0.666,85.01,5,1
1784729014,381549561,83.753,4.51,88.146,5,1
1784729014,448215576,86.767,0.66,87.354,5,1
1784729014,514881104,84.716,0.642,85.285,5,1
1784729014,581545410,84.852,0.658,85.438,5,1
1784729014,648209229,84.235,0.656,84.819,5,1
1784729014,714872314,84.477,0.703,85.106,5,1
1784729014,781534424,85.241,0.842,86.005,5,1
1784729014,848195801,86.886,0.846,87.557,5,1
1784729014,914856445,88.462,0.705,89.045,5,1
1784729014,981548340,86.233,0.8,86.961,5,1
1784729015,48272217,85.463,0.697,86.036,5,1
1784729015,114997314,85.173,0.671,85.77,5,1
1784729015,181723633,85.492,0.66,86.078,5,1
1784729015,248450928,85.097,0.716,85.739,5,1
1784729015,315179688,86.408,0.799,87.117,5,1
1784729015,381909180,85.775,5.994,91.648,5,1
1784729015,448640137,85.054,0.641,85.622,5,1
1784729015,515372314,85.659,0.658,86.245,5,1
1784729015,582105469,84.34,0.67,84.935,5,1
1784729015,648839844,84.938,0.643,85.508,5,1
1784729015,715575195,85.28,0.745,85.946,5,1
1784729015,782312012,85.862,1.025,86.805,5,1
1784729015,849049805,86.371,0.795,87.085,5,1
1784729015,915788818,87.568,0.77,88.266,5,1
1784729015,982501465,85.514,0.647,86.088,5,1
1784729016,49187256,84.517,0.638,85.082,5,1
1784729016,115872559,84.12,0.667,84.714,5,1
1784729016,182557373,84.239,0.65,84.816,5,1
1784729016,249241699,84.732,0.653,85.3,5,1
1784729016,315925537,85.445,0.657,86.029,5,1
1784729016,382608887,85.37,4.285,89.546,5,1
1784729016,449291748,88.257,0.658,88.842,5,1
1784729016,515974121,87.941,0.716,88.581,5,1
1784729016,582656250,85.527,0.658,86.113,5,1
1784729016,649337646,85.489,0.677,86.056,5,1
1784729016,716018555,86.186,0.784,86.892,5,1
1784729016,782698975,85.602,0.741,86.267,5,1
1784729016,849379150,86.831,0.753,87.506,5,1
1784729016,916058594,86.05,0.682,86.614,5,1
1784729016,982741943,85.465,0.66,86.053,5,1
1784729017,49429199,90.143,0.697,90.763,5,1
1784729017,116115723,88.74,0.802,89.462,5,1
1784729017,182801758,88.813,0.752,89.454,5,1
1784729017,249487549,85.556,0.655,86.138,5,1
1784729017,316172852,85.352,0.636,85.915,5,1
1784729017,382857666,86.201,4.329,90.416,5,1
1784729017,449541992,87.934,0.713,88.572,5,1
1784729017,516225830,86.177,0.664,86.767,5,1
1784729017,582909424,84.871,0.712,85.506,5,1
1784729017,649592285,87.588,0.655,88.171,5,1
1784729017,716274902,86.998,0.731,87.653,5,1
