capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785989061,354442627,92.769,1.009,93.705,5,1
1785989061,421135742,94.556,1.174,95.652,5,1
1785989061,454482178,120.028,0.968,120.924,5,1
1785989061,521174805,101.924,13.911,115.642,5,1
1785989061,554520996,123.248,1.873,125.035,5,1
1785989061,587866943,160.68,1.66,162.255,5,1
1785989061,687904785,106.253,3.08,109.127,5,1
1785989061,754596191,95.594,1.092,96.602,5,1
1785989061,787941650,133.802,1.88,135.318,5,1
1785989061,854632568,129.303,1.246,130.465,5,1
1785989061,921323242,121.939,2.389,124.249,5,1
1785989061,988013428,125.922,1.157,126.998,5,1
1785989062,54703125,135.05,2.062,136.597,5,1
1785989062,121392578,117.927,1.329,119.159,5,1
1785989062,154737305,135.937,1.395,137.238,5,1
1785989062,221426270,122.86,1.575,124.35,5,1
1785989062,288114990,123.541,1.309,124.764,5,1
1785989062,354803467,97.754,1.112,98.793,5,1
1785989062,421662354,92.835,1.066,93.827,5,1
1785989062,488522949,89.604,1.1,90.628,5,1
1785989062,521953857,120.459,5.847,126.176,5,1
1785989062,588817383,112.98,1.913,114.805,5,1
1785989062,622249756,129.16,1.044,130.13,5,1
1785989062,689115967,106.78,2.383,109.07,5,1
1785989062,722549805,125.542,1.293,126.726,5,1
1785989062,789418701,119.587,5.276,124.749,5,1
1785989062,856289551,105.095,1.473,106.472,5,1
1785989062,889725586,126.603,1.222,127.712,5,1
1785989062,956599365,122.51,1.302,123.734,5,1
1785989062,990036865,147.551,1.2,148.669,5,1
1785989063,56913086,144.538,3.357,147.727,5,1
1785989063,123791260,148.889,3.104,151.887,5,1
1785989063,190671387,155.351,2.095,157.37,5,1
1785989063,290995117,121.371,1.323,122.545,5,1
1785989063,357877686,93.293,1.114,94.329,5,1
1785989063,424549072,97.873,1.554,99.335,5,1
1785989063,457884277,117.345,1.435,118.694,5,1
1785989063,524554443,107.803,1.484,109.196,5,1
1785989063,557889404,140.765,11.744,152.217,5,1
1785989063,624558350,121.273,1.306,122.492,5,1
1785989063,691226563,123.081,1.702,124.686,5,1
1785989063,757894043,115.014,1.227,116.165,5,1
1785989063,824560791,96.388,0.977,97.291,5,1
1785989063,857893799,123.111,1.246,124.27,5,1
1785989063,924559326,124.317,1.285,125.515,5,1
1785989063,991224121,127.356,1.955,129.215,5,1
1785989064,57888184,122.224,1.448,123.586,5,1
1785989064,91219727,156.033,1.413,157.355,5,1
1785989064,191213623,108.121,1.94,109.654,5,1
1785989064,224544678,151.885,1.476,153.269,5,1
1785989064,324536377,93.947,1.119,94.991,5,1
