stamp_sec,stamp_nanosec,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1782125279,19020752,1,848,480,89.253,88.186,22.373,65.813,16.448,11.25,12.699,25.416,49.365,1.059,0.008,271.954,361.202
1782125279,152156006,1,848,480,60.794,60.02,0.989,59.031,7.071,11.33,12.977,27.653,51.959,0.769,0.005,249.835,310.634
1782125279,251998779,0,848,480,54.842,54.095,0.961,53.134,8.013,14.765,13.717,16.64,45.121,0.742,0.006,227.187,283.418
1782125279,285278076,1,848,480,70.395,69.656,5.616,64.04,9.48,15.502,13.54,25.518,54.56,0.734,0.004,262.314,332.698
1782125279,385111084,1,848,480,69.154,68.408,1.783,66.625,13.7,18.307,13.388,21.231,52.925,0.742,0.004,244.257,313.406
1782125279,484937012,1,848,480,74.736,67.16,2.119,65.04,14.063,14.379,13.188,23.409,50.977,7.564,0.012,223.94,298.703
1782125279,618026611,1,848,480,62.537,61.765,1.36,60.405,8.274,15.134,12.822,24.175,52.131,0.768,0.004,181.8,244.332
1782125279,751103027,1,848,480,53.231,51.559,1.317,50.242,8.898,11.426,12.404,17.514,41.344,1.645,0.027,232.361,296.143
1782125279,817695557,1,848,480,52.479,51.822,1.444,50.377,8.172,11.393,12.363,18.449,42.205,0.652,0.005,240.573,293.048
1782125279,884425781,0,848,480,54.241,53.285,1.558,51.727,10.478,11.067,12.287,17.895,41.25,0.95,0.006,239.828,294.075
1782125280,17895508,1,848,480,56.566,55.591,2.1,53.491,11.727,11.221,12.303,18.24,41.764,0.969,0.006,179.198,235.772
1782125280,51264648,1,848,480,61.807,60.872,1.814,59.057,9.847,17.281,12.966,18.963,49.21,0.93,0.005,213.977,275.782
1782125280,151377197,1,848,480,52.804,52.021,3.354,48.666,7.241,11.11,12.332,17.984,41.426,0.778,0.005,186.68,239.486
1782125280,184749512,1,848,480,70.029,69.284,1.017,68.266,13.532,16.296,14.078,24.361,54.735,0.741,0.004,220.263,290.288
1782125280,218122559,1,848,480,76.414,75.09,1.834,73.256,18.74,17.243,12.738,24.536,54.517,1.318,0.006,273.052,349.505
1782125280,318246338,1,848,480,61.943,61.162,1.251,59.911,9.206,13.905,13.26,23.54,50.705,0.776,0.005,268.521,330.435
1782125280,451755371,1,848,480,62.31,61.516,1.17,60.347,8.461,14.393,12.833,24.659,51.886,0.788,0.005,254.986,317.28
1782125280,618658447,0,848,480,57.513,56.694,1.164,55.529,8.071,15.56,13.54,18.358,47.458,0.814,0.006,217.304,274.824
1782125280,652041260,1,848,480,69.623,67.556,5.325,62.231,11.462,11.447,12.663,26.659,50.77,2.059,0.008,264.261,333.925
1782125280,718809326,1,848,480,65.677,64.101,1.123,62.978,8.165,15.714,13.489,25.611,54.813,1.569,0.008,285.119,350.827
1782125280,819163086,0,848,480,70.961,70.09,5.836,64.255,16.071,17.874,12.472,17.837,48.183,0.864,0.006,266.9,337.849
1782125280,852486084,0,848,480,64.585,63.109,1.302,61.806,13.545,13.13,13.104,22.028,48.262,1.471,0.006,314.593,379.207
1782125280,919131104,1,848,480,76.584,75.541,15.849,59.691,11.819,12.528,16.732,18.612,47.873,1.035,0.008,328.169,404.747
1782125281,219016357,1,848,480,62.43,61.655,1.012,60.643,8.574,14.313,13.064,24.692,52.069,0.77,0.005,244.647,307.072
1782125281,285653809,1,848,480,60.38,59.619,0.955,58.664,7.531,14.508,13.111,23.514,51.133,0.756,0.005,255.516,315.898
1782125281,385607178,1,848,480,62.151,61.404,1.93,59.474,11.247,11.224,20.005,16.997,48.226,0.743,0.004,231.503,293.651
1782125281,418924316,1,848,480,55.294,54.526,3.624,50.902,9.166,11.357,13.261,17.119,41.737,0.764,0.004,271.243,326.519
1782125281,518873535,1,848,480,57.021,56.211,3.685,52.526,10.127,11.197,12.574,18.627,42.399,0.805,0.005,237.32,294.351
1782125281,652134521,1,848,480,57.532,56.789,6.604,50.185,8.837,12.413,12.769,16.167,41.349,0.738,0.004,172.273,229.786
1782125281,852015381,0,848,480,54.445,53.683,0.988,52.695,8.629,14.015,12.69,17.361,44.065,0.757,0.005,130.076,184.522
1782125281,951966309,1,848,480,68.388,67.608,1.043,66.565,21.563,14.555,12.95,17.497,45.002,0.776,0.004,208.759,277.14
1782125282,51941162,1,848,480,55.986,55.105,1.164,53.941,11.4,11.319,12.175,19.047,42.541,0.874,0.007,287.119,343.117
1782125282,118589355,1,848,480,56.227,55.402,1.523,53.879,11.814,11.319,12.165,18.58,42.064,0.82,0.006,288.225,344.451
1782125282,151913086,1,848,480,62.262,53.588,2.181,51.407,9.451,11.249,12.27,18.436,41.956,8.666,0.009,326.197,388.475
1782125282,285204834,1,848,480,54.378,53.635,3.866,49.769,9.311,11.431,12.682,16.345,40.458,0.739,0.004,270.814,325.189
