capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785490476,778975098,115.109,1.039,116.072,5,1
1785490476,878973877,87.379,1.128,88.433,5,1
1785490476,945638672,97.241,1.343,98.5,5,1
1785490477,12302490,86.528,0.977,87.431,5,1
1785490477,78965576,85.872,0.98,86.779,5,1
1785490477,145627686,87.655,0.991,88.573,5,1
1785490477,212288818,87.775,1.032,88.733,5,1
1785490477,278949219,84.058,1.063,85.047,5,1
1785490477,345608643,86.158,1.055,87.111,5,1
1785490477,378937988,109.956,1.718,111.579,5,1
1785490477,412267090,120.152,1.081,121.159,5,1
1785490477,545581543,89.395,1.023,90.344,5,1
1785490477,612237305,88.705,4.775,93.371,5,1
1785490477,678894043,88.347,1.167,89.434,5,1
1785490477,712230225,116.683,3.2,119.085,5,1
1785490477,745566162,138.573,2.132,140.611,5,1
1785490477,812237549,121.172,1.31,122.391,5,1
1785490477,878908447,113.745,1.281,114.948,5,1
1785490477,945578369,115.708,1.496,117.119,5,1
1785490478,12247559,101.252,1.779,102.933,5,1
1785490478,45581787,122.239,1.14,123.299,5,1
1785490478,112249756,113.474,1.623,115.018,5,1
1785490478,145583496,133.163,1.67,134.679,5,1
1785490478,212250488,119.708,1.402,120.981,5,1
1785490478,278916748,96.473,1.426,97.819,5,1
1785490478,312249512,107.487,1.575,108.977,5,1
1785490478,378914551,101.382,2.327,103.55,5,1
1785490478,445578857,94.579,1.181,95.682,5,1
1785490478,545573975,87.866,1.058,88.85,5,1
1785490478,612236328,88.585,1.123,89.618,5,1
1785490478,678899170,91.062,7.547,98.474,5,1
1785490478,712235840,122.319,1.26,123.493,5,1
1785490478,778908936,102.192,1.456,103.558,5,1
1785490478,845581299,94.195,1.177,95.28,5,1
1785490478,945588379,109.546,3.623,113.053,5,1
1785490478,978923584,129.686,2.474,132.053,5,1
1785490479,45593750,129.635,1.242,130.796,5,1
1785490479,112263184,129.325,1.039,130.288,5,1
1785490479,178931885,115.687,1.015,116.624,5,1
1785490479,212265869,144.361,2.596,146.871,5,1
1785490479,278933594,130.818,2.124,132.85,5,1
1785490479,345600342,123.358,1.483,124.618,5,1
1785490479,412266602,110.946,2.54,113.402,5,1
1785490479,478932129,100.937,1.35,102.209,5,1
1785490479,512264648,119.925,3.121,122.901,5,1
1785490479,545596924,155.021,1.995,156.941,5,1
1785490479,645592529,133.486,10.075,143.377,5,1
1785490479,712270264,136.286,1.433,137.632,5,1
1785490479,778957275,119.631,1.819,121.366,5,1
1785490479,845644043,96.271,1.061,97.257,5,1
1785490479,912330322,97.44,1.175,98.541,5,1
1785490479,979016357,94.949,1.792,96.632,5,1
1785490480,12359375,117.667,1.343,118.903,5,1
1785490480,79044922,115.846,3.093,118.815,5,1
1785490480,145730225,98.982,1.33,100.224,5,1
1785490480,179072754,120.49,2.238,122.634,5,1
1785490480,245757568,99.219,1.384,100.51,5,1
1785490480,279099854,121.333,1.444,122.677,5,1
1785490480,345784180,100.565,1.475,101.958,5,1
1785490480,379126221,122.11,1.112,123.142,5,1
1785490480,445810059,99.946,1.181,101.04,5,1
1785490480,479151855,131.078,1.224,132.22,5,1
1785490480,545835205,118.788,1.185,119.884,5,1
1785490480,612518311,110.315,1.898,111.972,5,1
1785490480,645859863,138.313,6.816,144.976,5,1
1785490480,712534424,124.344,1.421,125.678,5,1
1785490480,779203369,117.762,1.319,118.989,5,1
1785490480,845871582,96.315,1.204,97.434,5,1
1785490480,879205322,125.495,1.149,126.566,5,1
1785490480,945872314,122.159,1.263,123.318,5,1
1785490481,12538330,103.245,1.51,104.676,5,1
1785490481,45871094,123.138,1.1,124.158,5,1
1785490481,112536133,124.104,1.611,125.616,5,1
1785490481,179200195,99.136,1.424,100.48,5,1
1785490481,245863525,95.681,1.254,96.746,5,1
1785490481,312526123,92.841,1.176,93.944,5,1
1785490481,379187744,92.228,1.004,93.157,5,1
1785490481,445848877,89.986,1.06,90.973,5,1
1785490481,512508789,90.308,1.014,91.243,5,1
1785490481,579168213,93.01,1.101,94.034,5,1
1785490481,645826660,88.02,1.09,89.013,5,1
1785490481,712573242,90.452,9.099,99.431,5,1
1785490481,779400635,91.709,0.971,92.607,5,1
1785490481,846229492,87.236,1.032,88.133,5,1
1785490481,913059570,91.528,1.186,92.592,5,1
1785490481,979890625,90.154,0.982,91.059,5,1
1785490482,46723145,89.418,1.206,90.536,5,1
1785490482,113556641,93.563,1.058,94.544,5,1
1785490482,180391602,88.288,0.981,89.194,5,1
1785490482,247227539,90.843,1.038,91.804,5,1
1785490482,314064697,88.344,1.162,89.426,5,1
1785490482,380903320,86.565,1.057,87.548,5,1
1785490482,447742920,89.593,1.106,90.626,5,1
1785490482,514583984,89.73,1.211,90.862,5,1
1785490482,548004883,106.559,1.467,107.939,5,1
1785490482,614847412,99.374,13.043,112.333,5,1
1785490482,648269287,132.5,1.685,134.086,5,1
1785490482,715049316,128.911,20.827,149.605,5,1
1785490482,781792480,119.671,1.534,121.12,5,1
1785490482,848536865,117.058,1.275,118.249,5,1
1785490482,915282471,96.167,6.815,102.829,5,1
1785490482,948655762,121.824,1.333,123.068,5,1
1785490483,15403320,116.878,1.347,118.137,5,1
1785490483,82151855,105.876,1.704,107.485,5,1
1785490483,115526611,124.408,1.322,125.652,5,1
1785490483,182277100,118.411,2.448,120.78,5,1
1785490483,249029053,103.763,1.235,104.913,5,1
1785490483,282405273,126.8,1.327,127.999,5,1
1785490483,349158936,116.164,2.552,118.618,5,1
1785490483,415913818,97.663,1.09,98.675,5,1
1785490483,449291504,119.844,1.45,121.205,5,1
1785490483,516048340,93.418,1.11,94.45,5,1
1785490483,549427002,117.348,1.019,118.293,5,1
1785490483,649565430,85.723,0.997,86.644,5,1
1785490483,716272949,97.328,3.699,100.934,5,1
1785490483,749607666,120.534,5.16,125.564,5,1
1785490483,816276367,117.786,1.29,118.99,5,1
1785490483,882944092,90.495,1.089,91.506,5,1
1785490483,949611084,106.873,4.192,110.955,5,1
1785490483,982944336,120.215,1.391,121.513,5,1
1785490484,49610107,96.569,4.956,97.718,5,1
1785490484,116275146,109.285,1.899,111.09,5,1
1785490484,182939209,93.411,1.061,94.396,5,1
1785490484,249602783,87.863,1.043,88.833,5,1
1785490484,316265381,85.329,0.987,86.241,5,1
1785490484,382927002,88.572,1.089,89.586,5,1
1785490484,449587891,86.111,1.045,87.081,5,1
1785490484,516248047,86.25,1.018,87.193,5,1
1785490484,582907471,88.637,2.031,90.585,5,1
1785490484,616236816,116.899,1.295,118.108,5,1
1785490484,682895508,118.861,1.672,120.4,5,1
1785490484,749564697,105.638,1.897,107.363,5,1
1785490484,782898926,131.236,20.244,151.361,5,1
1785490484,849566895,122.061,1.303,123.277,5,1
1785490484,916234131,103.747,2.728,106.383,5,1
1785490484,949567627,130.894,8.975,139.779,5,1
1785490485,16233398,118.281,1.603,119.795,5,1
1785490485,82898682,106.248,1.394,107.563,5,1
1785490485,116230957,121.027,1.401,122.353,5,1
1785490485,182895020,111.111,1.603,112.632,5,1
1785490485,216226807,132.164,3.404,135.477,5,1
1785490485,282889648,111.738,1.452,113.112,5,1
1785490485,316220703,128.134,1.748,129.774,5,1
1785490485,382882324,112.907,1.29,114.098,5,1
1785490485,416212646,125.988,1.22,127.125,5,1
1785490485,482873047,119.941,1.709,121.529,5,1
1785490485,549532715,103.303,1.635,104.673,5,1
1785490485,582862305,121.452,1.082,122.459,5,1
1785490485,649520752,103.729,3.442,107.091,5,1
1785490485,682850098,154.243,12.008,166.166,5,1
1785490485,782986572,98.551,2.413,100.355,5,1
1785490485,816366211,139.775,6.974,146.606,5,1
1785490485,883126465,116.474,1.2,117.598,5,1
1785490485,983270020,92.079,1.017,93.021,5,1
1785490486,50034180,92.932,1.315,94.106,5,1
1785490486,116799805,97.007,1.533,98.463,5,1
1785490486,183567139,87.001,0.972,87.901,5,1
1785490486,250335693,86.436,0.977,87.341,5,1
1785490486,317105957,106.665,2.049,108.62,5,1
1785490486,350491699,118.792,1.793,120.483,5,1
1785490486,417264404,95.843,2.63,98.312,5,1
1785490486,450651123,112.901,1.832,114.65,5,1
1785490486,484038330,121.048,1.21,122.183,5,1
1785490486,584202393,87.064,1.201,88.188,5,1
1785490486,650980225,86.405,1.091,87.419,5,1
1785490486,684368896,112.418,1.664,113.992,5,1
1785490486,717711426,135.802,1.869,137.574,5,1
1785490486,784396240,118.251,4.13,122.301,5,1
1785490486,851080322,96.766,1.309,97.997,5,1
1785490486,917763916,91.661,7.597,99.127,5,1
1785490486,984446777,91.038,1.231,92.193,5,1
1785490487,51129395,89.103,1.194,90.223,5,1
1785490487,117811279,91.783,1.073,92.783,5,1
1785490487,184492676,91.895,1.275,93.086,5,1
1785490487,251173584,92.405,1.049,93.381,5,1
1785490487,317854004,85.727,0.971,86.628,5,1
1785490487,384533936,86.746,1.056,87.659,5,1
1785490487,451213135,85.873,0.974,86.775,5,1
1785490487,517891846,90.088,1.242,91.259,5,1
1785490487,584570068,88.529,1.063,89.52,5,1
1785490487,651247803,86.123,1.304,87.351,5,1
1785490487,718018066,92.561,1.317,93.803,5,1
1785490487,784790039,97.881,1.493,99.287,5,1
1785490487,851563721,113.238,1.36,114.514,5,1
1785490487,884951172,128.742,7.519,136.14,5,1
1785490487,951727295,124.418,1.303,125.568,5,1
1785490488,18505371,114.84,1.339,116.102,5,1
1785490488,85285156,117.682,1.205,118.807,5,1
1785490488,152066650,93.548,1.072,94.548,5,1
1785490488,218849854,97.008,1.406,98.33,5,1
1785490488,252241943,117.58,1.221,118.728,5,1
1785490488,319027832,103.432,1.257,104.609,5,1
1785490488,352421387,119.968,1.413,121.296,5,1
1785490488,419209717,97.742,2.769,99.45,5,1
1785490488,452604492,119.604,1.581,121.102,5,1
1785490488,519395508,116.513,1.272,117.702,5,1
1785490488,586188232,95.713,1.239,96.869,5,1
1785490488,619585449,126.481,2.847,129.241,5,1
1785490488,686331787,104.704,1.395,106.014,5,1
1785490488,719681396,121.957,1.163,123.046,5,1
1785490488,819730225,87.541,1.032,88.5,5,1
1785490488,853079834,108.403,1.342,109.661,5,1
1785490488,886429199,126.013,1.17,127.111,5,1
1785490488,986477051,99.718,6.943,106.542,5,1
1785490489,86524170,86.176,0.967,87.073,5,1
1785490489,153222168,87.156,1.132,88.214,5,1
1785490489,219919678,87.798,1.105,88.829,5,1
1785490489,286616943,84.394,1.549,85.862,5,1
1785490489,353313965,86.108,1.085,87.121,5,1
1785490489,420010498,84.513,2.118,86.545,5,1
1785490489,486707031,85.248,1.041,86.218,5,1
1785490489,553403320,86.803,1.699,88.425,5,1
1785490489,620099121,94.947,1.16,96.007,5,1
1785490489,653447266,133.248,1.416,134.465,5,1
1785490489,720148438,117.977,1.087,118.933,5,1
1785490489,786849609,116.584,1.348,117.857,5,1
1785490489,853550293,94.1,1.294,95.317,5,1
1785490489,920250977,93.205,1.05,94.183,5,1
1785490489,986951172,93.91,1.206,95.022,5,1
1785490490,87000977,86.704,4.296,90.9,5,1
1785490490,153700684,86.453,1.114,87.443,5,1
1785490490,220400146,86.67,1.1,87.66,5,1
1785490490,287099121,85.588,0.956,86.473,5,1
1785490490,353798096,86.13,1.045,87.101,5,1
1785490490,420496582,85.468,1.027,86.423,5,1
1785490490,487195068,84.242,0.967,85.139,5,1
