capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785989394,506574707,158.288,5.622,163.782,5,0
1785989394,606523438,136.309,1.257,137.465,5,0
1785989394,673152832,124.244,5.655,129.697,5,1
1785989394,739779297,125.932,1.218,127.069,5,1
1785989394,806403076,106.616,1.503,107.97,5,1
1785989394,873024170,96.147,1.156,97.226,5,1
1785989394,906333740,119.729,1.578,121.21,5,1
1785989394,972950684,109.402,4.163,113.481,5,1
1785989395,6258301,157.944,1.219,159.075,5,1
1785989395,106176758,135.657,7.856,143.397,5,1
1785989395,172786865,132.317,2.953,135.099,5,1
1785989395,239459229,109.19,2.52,111.239,5,1
1785989395,272794922,145.055,2.403,147.36,5,1
1785989395,339465576,133.196,3.238,136.308,5,1
1785989395,406135010,108.557,6.607,115.069,5,1
1785989395,439469482,129.161,2.269,131.345,5,1
1785989395,506136963,121.804,2.901,124.624,5,1
1785989395,572803467,116.887,1.188,118.0,5,1
1785989395,639468750,120.904,2.692,123.517,5,1
1785989395,706133057,108.261,5.813,113.938,5,1
1785989395,739464600,153.921,1.877,155.672,5,1
1785989395,839457764,94.016,3.66,97.417,5,1
1785989395,872788086,122.88,1.234,124.037,5,1
1785989395,939448242,103.571,3.597,106.882,5,1
1785989395,972777832,125.29,1.14,126.333,5,1
1785989396,39436035,128.836,2.485,131.22,5,1
1785989396,106093018,158.802,1.135,159.854,5,1
1785989396,206092285,125.949,1.285,127.14,5,1
1785989396,272777832,119.867,1.316,121.09,5,1
1785989396,339462646,106.711,3.409,109.91,5,1
1785989396,372804932,129.572,1.122,130.61,5,1
1785989396,439489014,122.847,3.188,125.261,5,1
1785989396,506172607,121.282,1.6,122.78,5,1
1785989396,572855469,99.845,1.443,101.175,5,1
1785989396,606196533,125.698,1.468,127.08,5,1
1785989396,672878662,102.001,2.808,104.608,5,1
1785989396,706219482,129.24,8.121,137.132,5,1
1785989396,772900635,115.525,1.423,116.739,5,1
1785989396,806240967,161.953,1.114,162.985,5,1
1785989396,872921387,157.125,1.181,158.225,5,1
1785989396,972940918,112.804,1.205,113.925,5,1
1785989397,6280273,160.231,1.226,161.37,5,1
1785989397,106298096,120.324,1.275,121.518,5,1
1785989397,172976074,101.137,1.241,102.279,5,1
1785989397,206323730,130.941,1.257,132.114,5,1
