capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785989402,446344727,154.155,0.72,154.856,69.869,1
1785989402,513017578,145.033,0.707,145.721,57.534,1
1785989402,579689697,128.822,0.71,129.512,50.467,1
1785989402,646361084,110.23,0.988,111.161,48.315,1
1785989402,679696533,131.403,0.946,132.309,54.485,1
1785989402,746366699,120.568,0.595,121.141,55.508,1
1785989402,779701660,127.187,0.617,127.776,39.97,1
1785989402,846370850,108.596,0.681,109.25,48.141,1
1785989402,879705322,129.017,0.743,129.748,53.826,1
1785989402,946373291,115.914,0.685,116.579,53.501,1
1785989402,979707031,139.532,0.761,140.271,57.024,1
1785989403,46374023,144.443,0.804,145.216,71.619,1
1785989403,113040283,126.687,0.602,127.266,48.717,1
1785989403,179706543,115.746,1.24,116.825,56.212,1
1785989403,213046631,126.509,0.712,127.201,43.726,1
1785989403,279726318,128.852,0.751,129.596,69.063,1
1785989403,346405518,113.36,0.824,114.16,51.254,1
1785989403,379744629,120.872,0.921,121.782,40.956,1
1785989403,413083740,129.383,0.753,130.123,41.68,1
1785989403,479761475,122.074,0.875,122.929,59.486,1
1785989403,513100098,134.616,0.705,135.299,45.717,1
1785989403,579776855,111.131,0.911,111.927,43.294,1
1785989403,613115234,149.509,2.002,151.496,72.905,1
1785989403,679791016,130.288,0.846,130.958,46.149,1
1785989403,746466064,118.185,1.049,119.215,54.924,1
1785989403,779803467,151.666,0.775,152.419,66.552,1
1785989403,846477539,139.085,0.906,139.963,54.212,1
1785989403,913151123,117.24,2.145,119.385,46.074,1
1785989403,946487549,131.993,0.9,132.877,46.84,1
1785989404,13160156,136.806,0.834,137.506,71.317,1
1785989404,79832031,131.193,0.751,131.915,61.08,1
1785989404,146503418,128.0,0.622,128.596,63.353,1
1785989404,179839355,159.904,0.604,160.485,65.226,1
1785989404,279863281,117.644,0.671,118.294,57.83,1
1785989404,313204346,145.099,0.583,145.66,60.71,1
1785989404,379885986,125.597,0.886,126.47,47.482,1
1785989404,413226563,146.413,0.974,147.369,54.238,1
1785989404,479907471,144.814,1.194,145.986,65.287,1
1785989404,546587891,115.633,0.709,116.328,37.038,1
1785989404,579927734,135.314,0.916,136.223,53.153,1
1785989404,646607422,127.606,0.654,128.225,58.77,1
1785989404,713286377,117.102,0.651,117.73,56.186,1
1785989404,746625488,150.243,1.128,151.372,66.952,1
1785989404,813303711,134.997,0.731,135.702,51.035,1
1785989404,879981201,119.043,0.712,119.738,50.711,1
1785989404,913319824,129.255,0.603,129.836,43.44,1
1785989404,979996582,114.808,0.711,115.499,52.336,1
1785989405,13334717,190.633,0.589,191.201,109.046,1
1785989405,113348389,133.668,0.747,134.394,43.205,1
1785989405,180023926,115.494,0.887,116.354,48.634,1
1785989405,213365234,127.935,1.064,128.992,45.961,1
1785989405,280047852,112.718,0.863,113.565,51.27,1
1785989405,313388672,134.603,0.924,135.451,55.229,1
1785989405,380070313,136.171,0.95,137.062,68.222,1
1785989405,446751465,129.709,0.587,130.271,59.965,1
1785989405,513431885,105.318,1.038,106.435,42.729,1
1785989405,546771973,131.244,0.771,131.994,59.01,1
1785989405,613451660,124.176,0.773,124.928,59.615,1
1785989405,646791260,147.981,0.91,148.867,57.282,1
1785989405,713470215,127.394,0.586,127.955,45.768,1
1785989405,780148438,108.373,1.315,109.67,48.368,1
1785989405,846826172,113.781,0.81,114.562,71.591,1
1785989405,880164795,128.753,0.745,129.475,48.255,1
1785989405,946841553,133.372,0.62,133.965,71.166,1
1785989406,13518066,128.395,1.114,129.491,62.191,1
1785989406,46855957,170.957,0.805,171.739,75.596,1
1785989406,146869141,122.825,0.665,123.464,51.741,1
1785989406,180206787,158.677,0.752,159.408,69.272,1
