stamp_sec,stamp_nanosec,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1782120709,230316650,1,848,480,97.812,96.979,1.461,95.518,9.472,49.919,13.129,22.997,86.045,0.829,0.004,320.008,417.792
1782120709,430208984,1,848,480,93.594,92.508,1.209,91.299,9.868,51.014,13.04,17.377,81.431,1.064,0.022,245.494,339.004
1782120709,496866211,1,848,480,100.447,99.664,1.554,98.111,8.547,50.344,13.182,26.037,89.564,0.778,0.004,285.774,386.222
1782120709,630177246,1,848,480,105.433,104.646,4.219,100.427,10.762,52.378,12.859,24.429,89.665,0.782,0.006,264.086,369.522
1782120709,730157471,1,848,480,100.8,99.843,1.848,97.995,10.167,50.676,12.919,24.234,87.828,0.951,0.007,290.975,391.792
1782120709,963435059,1,848,480,97.171,96.424,1.549,94.875,8.789,50.7,13.032,22.354,86.086,0.742,0.005,246.628,343.797
1782120710,30083252,1,848,480,93.544,92.73,1.4,91.331,10.499,48.379,13.512,18.941,80.832,0.809,0.005,296.207,389.752
1782120710,196698975,1,848,480,103.134,97.187,1.793,95.394,7.835,50.462,12.95,24.147,87.558,5.938,0.009,238.156,341.315
1782120710,363307617,1,848,480,77.864,77.035,1.005,76.03,7.306,36.749,12.735,19.24,68.724,0.825,0.004,246.741,324.607
1782120710,463431152,1,848,480,86.686,85.957,5.892,80.065,8.884,42.183,12.309,16.689,71.181,0.725,0.004,235.274,321.957
1782120710,496762695,1,848,480,88.828,87.769,1.166,86.603,11.763,43.12,12.507,19.213,74.841,1.054,0.005,299.99,388.836
1782120710,730074951,1,848,480,97.733,96.982,1.037,95.945,9.723,51.038,12.988,22.196,86.222,0.747,0.004,223.139,320.865
1782120710,763404541,1,848,480,82.447,81.066,1.102,79.964,10.694,37.741,12.039,19.491,69.27,1.375,0.007,298.132,380.613
1782120710,830062500,1,848,480,80.161,79.183,1.218,77.965,8.419,38.183,12.665,18.698,69.546,0.969,0.009,328.462,408.627
1782120710,963375488,1,848,480,77.156,76.363,1.105,75.258,7.199,38.385,12.293,17.382,68.059,0.785,0.008,290.846,368.038
1782120711,96684570,1,848,480,78.57,77.584,1.137,76.447,7.918,38.932,12.396,17.201,68.529,0.982,0.004,272.884,351.428
1782120711,163337646,1,848,480,81.64,80.837,2.356,78.482,9.925,37.163,12.178,19.216,68.557,0.795,0.007,312.865,394.398
1782120711,296640869,1,848,480,82.151,81.419,2.047,79.372,9.519,39.989,12.519,17.344,69.853,0.727,0.005,276.52,358.66
1782120711,363291016,1,848,480,98.051,97.239,3.371,93.868,7.934,47.192,12.188,26.554,85.934,0.803,0.01,307.597,405.696
1782120711,529895752,1,848,480,87.22,86.472,0.979,85.493,7.767,47.557,12.22,17.949,77.726,0.744,0.004,260.085,347.302
1782120711,563227783,1,848,480,106.755,105.996,1.303,104.693,14.719,53.661,13.081,23.232,89.974,0.755,0.005,328.829,435.564
1782120711,863205078,1,848,480,84.548,83.676,1.163,82.513,11.851,41.754,12.147,16.761,70.662,0.867,0.006,148.115,232.682
1782120711,963193359,1,848,480,99.313,98.536,1.382,97.154,14.847,49.993,13.28,19.034,82.307,0.773,0.005,145.369,244.667
1782120712,63179688,1,848,480,87.85,87.086,1.092,85.994,13.024,37.988,12.857,22.126,72.97,0.76,0.004,185.445,273.29
1782120712,96508057,1,848,480,107.442,106.688,8.692,97.996,12.155,49.86,13.215,22.766,85.841,0.75,0.004,263.046,370.475
1782120712,163163818,1,848,480,81.893,80.862,1.467,79.395,10.693,37.368,12.086,19.248,68.702,1.004,0.027,315.496,397.611
1782120712,263145996,1,848,480,79.609,78.871,1.39,77.48,7.486,40.053,12.441,17.501,69.994,0.735,0.004,321.973,401.561
1782120712,329799561,1,848,480,79.241,78.351,1.086,77.265,7.963,37.948,12.074,19.282,69.303,0.884,0.006,353.313,432.569
1782120712,495799805,1,848,480,79.606,78.88,2.229,76.651,9.129,37.347,12.502,17.672,67.521,0.722,0.004,281.987,361.583
1782120712,663250977,1,848,480,78.195,77.452,1.073,76.379,7.792,37.709,12.684,18.194,68.587,0.739,0.004,247.124,325.311
1782120712,696743652,1,848,480,83.329,82.17,0.941,81.229,7.442,39.566,12.072,22.149,73.787,1.15,0.01,308.692,392.052
1782120712,830722168,1,848,480,81.344,80.364,1.933,78.431,9.469,38.586,12.552,17.824,68.962,0.975,0.004,269.824,351.197
1782120712,931214355,1,848,480,89.09,87.885,2.07,85.815,11.379,42.323,12.089,20.024,74.435,1.2,0.006,264.603,353.729
1782120713,31713379,1,848,480,99.36,98.463,1.456,97.007,11.029,50.441,13.108,22.43,85.978,0.889,0.008,269.674,369.012
1782120713,98717041,1,848,480,93.823,92.878,1.149,91.729,14.79,45.28,12.536,19.123,76.939,0.941,0.004,318.267,412.078
1782120713,232733398,1,848,480,84.668,83.648,2.286,81.362,11.518,38.271,12.073,19.499,69.844,1.008,0.011,298.024,382.762
1782120713,299746338,1,848,480,98.591,97.707,1.245,96.461,8.747,52.172,13.009,22.534,87.715,0.88,0.004,336.265,434.914
1782120713,468271729,1,848,480,85.894,85.167,1.049,84.117,9.797,43.189,12.515,18.616,74.321,0.724,0.004,278.631,364.515
1782120713,634855225,1,848,480,80.763,79.956,2.992,76.964,7.502,37.728,13.062,18.672,69.463,0.802,0.005,244.094,324.859
1782120713,734801025,1,848,480,78.103,77.209,1.079,76.131,7.463,39.347,12.307,17.014,68.668,0.89,0.004,237.9,315.971
1782120713,768115479,1,848,480,101.003,100.25,1.551,98.698,13.045,49.146,13.214,23.294,85.653,0.749,0.004,297.52,398.446
1782120713,901369629,1,848,480,83.501,80.74,1.129,79.611,10.386,37.76,12.096,19.369,69.225,2.753,0.008,287.782,371.292
1782120714,34617676,1,848,480,80.952,79.98,5.3,74.68,7.189,37.712,12.405,17.374,67.491,0.968,0.004,251.293,332.476
1782120714,201169434,1,848,480,77.711,76.696,1.162,75.534,7.934,37.956,12.446,17.198,67.6,1.011,0.004,211.36,289.07
1782120714,234478760,1,848,480,78.156,77.115,1.162,75.954,8.226,38.234,12.15,17.344,67.728,1.034,0.006,272.103,350.553
1782120714,334404053,1,848,480,85.184,84.352,1.371,82.981,8.203,37.239,12.54,25.0,74.779,0.826,0.006,270.796,355.93
1782120714,401019287,1,848,480,77.263,76.504,1.04,75.464,7.29,37.865,12.594,17.715,68.174,0.756,0.004,309.806,387.067
1782120714,567532715,1,848,480,89.618,88.734,5.638,83.096,13.199,41.085,12.106,16.706,69.897,0.878,0.006,230.378,320.012
1782120714,667475098,1,848,480,84.98,82.634,2.284,80.351,9.986,37.758,12.476,20.131,70.365,2.317,0.028,232.904,317.922
1782120714,800726563,1,848,480,79.766,79.04,1.105,77.935,7.387,41.356,12.539,16.653,70.549,0.721,0.004,209.452,289.193
1782120714,834038330,1,848,480,82.088,81.285,1.632,79.652,11.236,36.993,12.305,19.119,68.416,0.799,0.004,267.876,349.955
1782120715,591797,1,848,480,78.29,77.445,1.551,75.894,7.792,37.423,12.466,18.213,68.102,0.841,0.004,241.175,319.46
1782120715,67210449,1,848,480,77.505,76.723,0.953,75.77,7.847,37.804,12.295,17.825,67.923,0.778,0.004,263.038,340.536
1782120715,133827637,1,848,480,84.422,83.552,1.067,82.485,11.473,39.844,12.086,19.084,71.013,0.861,0.008,286.976,371.432
1782120715,200443115,0,848,480,81.426,80.69,4.126,76.564,8.862,36.96,12.896,17.846,67.702,0.732,0.004,316.822,398.244
1782120715,333669678,1,848,480,83.181,82.105,1.006,81.099,9.381,42.377,12.313,17.028,71.718,1.072,0.004,275.116,358.321
1782120715,500147949,1,848,480,78.923,77.822,1.223,76.599,8.449,37.428,12.582,18.14,68.15,1.097,0.004,232.812,311.693
1782120715,533463623,1,848,480,82.905,82.101,2.107,79.994,11.387,37.677,12.043,18.887,68.607,0.798,0.006,300.907,383.712
1782120715,600093750,1,848,480,78.534,77.577,1.383,76.194,7.492,38.04,12.347,18.315,68.702,0.953,0.004,339.272,417.779
1782120715,766662354,1,848,480,108.934,108.176,5.054,103.122,13.505,52.083,13.816,23.718,89.617,0.754,0.004,269.365,378.183
1782120715,866598877,1,848,480,104.955,103.989,1.54,102.449,9.586,59.499,12.994,20.37,92.863,0.962,0.005,290.068,395.047
1782120715,933221436,1,848,480,86.354,85.613,2.131,83.482,10.863,38.707,12.445,21.467,72.619,0.737,0.004,346.277,432.613
1782120716,133079590,1,848,480,98.593,97.747,1.407,96.339,9.966,50.463,12.964,22.946,86.373,0.841,0.005,263.597,362.202
1782120716,199695801,1,848,480,97.332,96.588,1.023,95.565,8.503,51.611,13.065,22.384,87.061,0.74,0.004,325.122,422.448
1782120716,332923828,1,848,480,77.753,76.977,1.013,75.964,7.805,36.717,12.52,18.922,68.16,0.772,0.005,319.568,397.313
1782120716,466085938,1,848,480,78.275,77.548,1.133,76.416,7.714,39.312,12.16,17.23,68.702,0.723,0.004,286.582,364.848
1782120716,566034912,1,848,480,83.017,82.265,1.478,80.787,9.979,39.413,12.182,19.213,70.808,0.748,0.004,276.25,359.269
1782120716,599350342,0,848,480,85.56,84.754,1.556,83.198,8.942,45.609,12.226,16.422,74.256,0.802,0.004,337.019,422.572
1782120716,865860840,1,848,480,89.552,88.758,1.192,87.566,12.671,38.42,12.731,23.743,74.895,0.791,0.004,260.544,350.091
1782120717,65727539,1,848,480,82.106,81.319,1.047,80.272,11.102,37.035,12.678,19.458,69.171,0.783,0.004,246.225,328.323
1782120717,198964355,1,848,480,78.05,77.307,1.099,76.208,7.449,36.974,13.76,18.024,68.759,0.739,0.004,250.152,328.195
1782120717,265580566,1,848,480,81.645,80.921,1.177,79.744,7.695,43.249,12.164,16.636,72.049,0.72,0.004,273.006,354.648
1782120717,365501953,1,848,480,83.64,82.849,1.524,81.325,10.474,37.918,12.059,20.874,70.851,0.786,0.005,265.393,349.033
1782120717,464955566,1,848,480,81.368,80.385,1.335,79.05,11.021,38.185,12.611,17.234,68.03,0.979,0.004,260.41,341.815
1782120717,531748291,0,848,480,94.273,88.36,0.978,87.382,18.166,37.407,12.107,19.702,69.217,5.905,0.008,295.926,390.215
